Q,A
"In population A number of smokers has been reported as double as population B, explain the possible reasons.","Important factors for reporting the answer include:
The total population size and the number of individuals represented in the denominator of the fraction.
The societal definition of smoking.
The methodology for reporting cases of smoking.
The rate of immigration into the community."
Describe different type of risk factors according to changeability and application,"Based on Changeability:
Unchangeable Risk Factors: Such as age and sex.
Potentially Changeable Risk Factors: For example, blood pressure.
Currently Unchangeable, but Potentially Changeable Risk Factors: Genetics is an example that, while currently unchangeable, may become modifiable in the future.
According to Application:
Etiological Risk Factors: For instance, smoking as a risk factor for cancer.
Diagnostic Risk Factors: Such as the combination of being a smoker, being older, and being male, which increases the risk for pancreatic cancer.
Prognostic Risk Factors: For example, the continued act of smoking in someone who has already suffered a heart attack."
"In one study 5000 individuals have been assessed, if smoking frequency in total is 20% and smoking frequency in men is double women and gender ratio (female to male) is 1.5, what is the frequency of smoking in men","0.2=0.4*2*x+0.6*x=1.4x
X=0.2/1.4
14.3%
28.6%"
"In one study on 5000 individuals, prevalence of smoking at the beginning was 20% after one year it has become 25%, what is one year incidence of smoking in this study","after one year:1000,after two tear:1250,1250-1000=250,250/4000=6.25%"
List the biases which may happen in assessment of a screening program effectiveness.,"Lead time Bias,Length Bias"
"In one study on 800 individuals, prevalence of disease was 40% and screening test positive rate was 50%, if there were 20 false positive results, what is the sensitivity and specificity of the screening test",Incalculable
"First screening test with 90% sensitivity and 90% specificity and second one with 95% sensitivity and 80% specificity have been used for a disease, probability of being disease with a positive result of the first test is how much more/less than a positive result of the second test?",there is no Prevalence so this is incalculable.
"A 3 year old child has come with fever, write the steps for assessment and making decision for the child according to the IMCI protocol.","Check for danger signs.Assess the presence or absence of fever.Examine for post-auricular mastoiditis.Evaluate for neck stiffness.Evaluate for neck stiffness.Examine for oral ulcers.Consider whether the patient lives in a malaria-prone area (with a prevalence rate exceeding 5%).Immediate referral is required in the presence of any danger signs, mastoiditis, or neck stiffness.If severe redness of the eyes or severe oral ulcers are present, immediate referral is also necessary.In the presence of moderate redness of the eyes and oral ulcers, the condition is categorized as ""yellow"" and should be treated accordingly. If the patient is located in an area where malaria is unlikely, or presents with a runny nose, the condition is categorized as ""green"" and will receive standard treatment. In areas with a malaria prevalence rate exceeding 5%, treatment with anti-malarial drugs will be administered."", List all situations which need urgent referral in assessment of a child for malnutrition and anemia according to IMCI?, Should there be atrophy of the shoulder and gluteal muscles, indicative of conditions like kwashiorkor and marasmus, an urgent referral is warranted.
In cases of severe anemia, evidenced by pallor of the palmar creases, urgent referral is also essential.
The presence of diarrhea in conjunction with malnutrition necessitates an urgent referral as well.    "
Explain the steps in investigation of an Outbreak (Epidemy)?,"Case Identification: Specify the epidemic and corroborate its existence by identifying cases. Spatial and Temporal Distribution: Study the distribution of cases based on location and time, while also investigating their interaction.Variable Analysis: Examine combinations and interactions of variables related to the disease.Hypothesis Formulation: Generate hypotheses based on the collected information and existing knowledge about the disease.Hypothesis Testing: Validate hypotheses through the design of targeted studies, such as case-control studies.Control Measures: Implement strategies to control the current epidemic and take preventive measures against future outbreaks.Research Reporting: Compile a written report summarizing the research findings.Findings Dissemination: Present the findings to both executive authorities and the general public for appropriate action."
List different types of Outbreak (Epidemy)?,"Endemic
epidemic
sporadic
pandemic"
Describe different types of surveillance system with one example for each.,"Passive Surveillance Model: In this approach, the reporting of diseases is generally initiated by caregivers and health service providers.Active Surveillance Model: Under this model, health departments proactively contact healthcare providers to request reports on disease occurrence.Syndromic Surveillance Model: This model employs non-stringent or pre-diagnostic indicators to identify emerging health issues."
