Q,E1,E2,Answer,A,B,C,D
The difference between the denominator and numerator of “positive predictive value” of a surveillance system shows which of the following items?,,55,b,The patients who were missed and not included in surveillance.,The subjects that were included in the surveillance but were not sick,Those who were correctly registered in  the surveillance,The sum of false positive and false negative cases 
"In many countries,   legislations ban driving under the influence of alcohol. This rule is based upon findings of which types of surveillance system?",,55,a,Registry,Routine health information,Vital statistics,Disease prevention and control
A group of physicians are interested to find out if a link exists between asphyxia due to prolonged birth and Alzheimer’s disease. Which type of surveillance system (if existent) can be of help to answer this question?,,55,d,Public survey,Hospital records,Coroner’s reports,Record linkage
All of the following items are used to evaluate a surveillance system except:,,55,a,Specificity,Acceptability ,Flexibility ,Sensitivity
“Sentinel Surveillance” is recommended more for which of the following health-related conditions?,,55,b,Road traffic injuries,HIV/AIDS,Influenza,Diabetes
"In a community, a high level of infection with malaria is observed in child population leading to a state of equilibrium such that the adult population shows evidence of the disease much less commonly than do the children. This condition is best described as…?",,55,c,Endemic,Hyperendemic,Holoendemic,Epidemic
What is the first step in an outbreak investigation?,,55,b,Implement control measures,Confirm the outbreak,Formulate and test hypothesis,conduct case finding
"In An epidemic curve, or “epi curve,”what does x-axis show?",,55,a,Time of illness onset among cases.,Number of cases.,Index case,Outliers
Which type of epidemics is demonstrated in the epidemic curve below?,,55,b,Continuous Common Source,Point Source,Propagated Outbreak,person to person
"This type of outbreak begins when an infection is spread from person to person. This produces successively taller peaks, initially separated by one incubation period. The epidemic continues until the remaining numbers of susceptible individuals decreases in the community or until intervention measures take effect:",,55,c,Continuous Common Source,Continuous point Source,Propagated Outbreak,Point source
"Disease burdens are categorized into three groups, which of items is not considered in communicable disease category?",,55,d,Maternal conditions,Perinatal  conditions,Nutritional deficiencies,Injuries
"Regarding global burden of communicable disease, Six causes account for almost half of all premature deaths, which disease is in the second rank?",,55,d,Diarrhoeal diseases,Malaria,Tuberculosis,HIV/AIDS
Which one is an example of re-emerging disease?,,55,a,Diphtheria,SARS,Creutzfeld-Jakob disease,Ebola hemorrhagic fever
Which one is the definition of “secondary or intermediate hosts”? Hosts in which…..,,55,d,the parasite remains alive but does not undergo development,the parasite attains maturity,the parasite passes its sexual stage,the parasite is in a larval or asexual state
An infection originating in a patient while in a hospital or other health care facility  is called..?,,55,a,Nosocomial  infection,Colonization,Latent infection,Contamination
The pathogenicity of the agent is…:,,55,b,A measure of the severity of disease,Its ability to produce disease,Its ability to establish an infection,The person or object from which the host acquires the agent
"In the iceberg concept of disease, which one is not included as the tip of iceberg?",,55,d,Classical disease,Sever disease,Mild illness,Asymptomatic infection
Which sentence is false?,,55,c,Epidemic curve is the distribution of the times of onset of the disease,"For herd immunity to exist, there should be random mixing of the population",Latent disease means infection with  active multiplication of the agent,Post-polio syndrome in adult life is an example of persistent (chronic) disease
The first step of outbreak investigation include:,,55,b,Recommendation on  control measures,Calculating the attack rates,Looking for time–place interactions,Developing hypotheses
Basic Reproductive Rate is affected by several factors including:,,55,d,The duration of infectivity,The infectiousness of the organism,The number of susceptible people,All of the above
"In an outbreak of gastroenteritis among attendees of a corporate picnic, 99 persons ate potato salad, 30 of whom developed gastroenteritis. Besides, 55 persons ate tuna salad, 10 of whom developed gastroenteritis. The risk of illness among persons who ate potato salad is:",,55,b,18%,30.30%,1-30.3%,25%
Which of the following fields is specificly related to Preventive Medicine Speciality?,,55,b,Prevention of retinopathy in diabetic patients,Prevention of cardiovascular disease incidence,Correct drug perscription in an asthmatic patient,Assessment of Rabies vaccine in mice
Which of the following items is related to determinants of health definition in epidemiology science?,,55,c,Determination of diabetic foot prevalence in aged diabetic patients,Determination of peptic ulcer rate in pregnant women,Determinantion of asthma prevalence in different age groups,Determination of death incidence density in CVA patients
"One orthopedic surgen observed higher numbers of bone cyst cases in his office than previous years, which of the following limitations is more preventing then others for generalization of this idea to the population?",,55,d,No information about bone cyst cases in other offices,No information about bone cyst cases in general hospitals in the city,No information about bone cyst cases in whole city,No information about the total population number
"In city ""A"" one disease frequency is 3 times hogher than city ""B"", if the reporting system, case definition and diagnostic accuracy were the same in two populations, which of the following items can explain this difference?",,55,d,"Patients migration from city ""A""","Healthy people migration from city ""B""","Higher incidence in City ""B""","Higher disease duration in City ""A"""
"In one population 2000 men and 3000 women invited to the study, participation rate in women was 80% and in men was 60%, disease frequency in participated men was 20% and in participated women was 10%, during the study follow up of 60 men and 60 women lost and there is no information about the disease status in them, if disease incidence in men was 2 times than women and incidence in total sample was 13% in one year, which is the number of new cases in men during one year after study?",,55,b,90,180,102,210
"In one population one year incidence of cigarette soming has been reported as 20%, from this population a sample of 5000 has been selected and has been obsereved 400 new cases of cigarette smoking during one year follow up, what was the snoking prevalence in this population according to the sample at the start time of the study? (Consider no migration and population change during this year of study)","a,b,c,d",55,d,30%,40%,50%,60%
"In one national study, samples have been taken from all subgroups of the population, obesity prevalence wasreported 39% in urban area, 32% rural area, 45% in women, 30% in men, 37% in less than 40s, 47% in 40 years old and above, 27% in the least prevalence province and 47% in the most prevalent province. Which estimate can be the estimate of the whole population?","a,b,c,d",55,c,28%,33%,38%,43%
"In one study water pipe smoking prevalence rate in girls was 55% and in boys was 55%, if girls consist 60% of the population, which sample according to Gender ratio can estimate population rate correctly?","a,b,c,d",55,d,1.4,1.5,1.6,All of the populations
Which of the following health measures is different from the others in context?,,55,a,QALY,Wellness,Quality of Life,Life Satisfaction
After herniation surgery recommendation to patient is not lifting more than one kg load. Because of surgical procedure the patient is not able to lift more than 3 kg load. Which of the following items is correct about functional and therapeutic classification of this patient?,,55,a,Therapeutic classification of this patient is more conservative,Functional classification of this patient is more conservative,There is no significant difference between these classifications in this patient,Data is not sufficient to have a good judgment between these two classifications
"In which of the following items, type of risk factor and correspondent stage in natural history of disease correctly described?",,55,b,Diagnostic risk factor-Stage of susceptibility,Prognostic risk factor-Stage of clinical disease,Etiologic risk factor-Stage of insusceptibility,Diagnostic risk factor-stage of irreversible morbidity
"In a study 2500 persons assessed, 1500 was man and the others was woman. If frequency of a disease in that sample was 10%, shall be what disease frequency in women if risk in men is two times women?","a,b,c,d",55,a,6.25%,12.5%,10%,It is not calculable
"In a study 2500 persons assessed. At the beginning of the study prevalence of the disease was 20%. If during 2 months of follow up 125 persons caught the disease, what is the two months incidence of the disease?","a,b,c,d",55,a,6.25%,12.5%,10%,It is not calculable
"Mean survival time in one study was 12 months, if follow up time of each individual in the study was equally 2 months and only one person caught the disease during follow up, what was the number of studied persons?",,55,b,12,6,3,4
Type of error in all items is the same except:,d,55,d,No answer to some questions of a questionnaire,Non participants in a survey,Loss to follow up after participation in a study,Wrong answers to questions of a questionnaire
"In a population smokers catch a disease 2 times more than non-smokers and the prevalence of the disease is 10% in that population, in a sample of 2000 individuals from that population there were no difference between smokers and non-smokers according to the disease prevalence. All of the following items can explain this conflict except:",,55,a,Chance error,Measurement bias,Selection Bias,Confounding
"In one population incidence of a disease in men in 2 per 1000 and in women is 1 per 1000, in another population incidence of same disease is 7 per 10000. SMR for disease in second population in comparison to the first population according to gender is:",d,55,a,Always lower than 1,Always higher than 1,Equal to 1,Not calculable
"From the following specifications of screening tests, which item is related to health care providers?",,55,d,Validity,Reliability,Rapidity,Feasibility
"In one study 200 patients and 300 healthy persons assessed by a screening test. If there was 180 positive and 250 negative results of test, what is the maximum expected validity of the test?","a,b,c,d",55,d,100%,90%,85%,Not calculable
Sensitivity and specificity of one screening test both are 90%. In which amount of disease prevalence PPV of the test will be also 90%?,"a,b,c,d",55,a,50%,40%,30%,20%
Increase in all of the following items has same effect on Yield of screening except:,,55,b,Interval with previous screening,Medical care about disease,Incidence of the disease,Participation in screening
Which of the following items are more important in selection of a screening program as a health intervention in a community?,,55,d,High burden of disease,Presence of screening test,Presence of treatment,Cost effectiveness of program
"In evaluation of the impact of a screening program, results affected by self-participation of individuals in screening program, which type of biases has the role in this case?",,55,b,No biases happened,Confounding,Selection bias,Measurement bias
Which of the following items has the highest proportional mortality in under 5 year old children among the others?,,55,a,Perinatal causes,Pneumonia,Diarrhea,Measles
Which of the following characteristics of IMCI protocol guaranties it`s implementation in all countries?,,55,c,Evidence based,Cost efficient,Independence to technologies,Flexibility
