questions,score_gpt-3.5-turbo,score_gpt-3.5-turbo-16k
AGE-ADJUSTED MORTALITY RATE,8,8
ATTRIBUTABLE PROPORTION,8,8
BIAS,8,8
CARRIER,8,8
CASE,8,8
CASE-CONTROL STUDY,8,8
CAUSE-SPECIFIC MORTALITY RATE,8,8
CLUSTER,8,8
COHORT STUDY,8,8
ONFIDENCE INTERVAL,8,8
CONTAGIOUS,8,8
CONTROL,5,5
DEMOGRAPHIC INFORMATION,8,8
ENDEMIC DISEASE,8,8
EXPERIMENTAL STUDY,8,8
HEALTH INFORMATION SYSTEM,8,8
HOST,8,8
HYPERENDEMIC DISEASE,8,8
"IMMUNITY, PASSIVE",8,8
INCIDENCE RATE,9,9
INCUBATION PERIOD,8,8
MEDICAL SURVEILLANCE,8,8
MORTALITY RATE,8,8
NORMAL DISTRIBUTION,8,8
OBSERVATIONAL STUDY,8,8
ODDS RATIO,8,8
OUTBREAK,8,8
PANDEMIC,8,8
PERIOD PREVALENCE,8,8
POINT PREVALENCE,8,8
PREDICTIVE VALUE POSITIVE,8,8
PREVALENCE RATE,9,9
PUBLIC HEALTH SURVEILLANCE,8,8
RANDOM SAMPLE,8,8
RELATIVE RISK,8,8
RESERVOIR,8,8
RISK RATIO,8,8
SENSITIVITY,8,8
SPECIFICITY,9,9
VALIDITY,8,8
VECTOR,8,8
YEARS OF POTENTIAL LIFE LOST,8,8
ZOONOSES,8,8
