questions,score_gpt-4,score_gpt-3.5-turbo,score_gpt-3.5-turbo-16k
AGE-ADJUSTED MORTALITY RATE,9,9,9
ATTRIBUTABLE PROPORTION,10,9,9
BIAS,9,10,10
CARRIER,8,9,9
CASE,9,0,0
CASE-CONTROL STUDY,9,9,9
CAUSE-SPECIFIC MORTALITY RATE,9,9,9
CLUSTER,9,9,9
COHORT STUDY,9,10,9
ONFIDENCE INTERVAL,9,9,9
CONTAGIOUS,9,9,9
CONTROL,0,0,0
DEMOGRAPHIC INFORMATION,8,9,9
ENDEMIC DISEASE,9,10,10
EXPERIMENTAL STUDY,9,9,9
HEALTH INFORMATION SYSTEM,9,8,8
HOST,9,9,9
HYPERENDEMIC DISEASE,9,10,10
"IMMUNITY, PASSIVE",10,10,10
INCIDENCE RATE,10,10,10
INCUBATION PERIOD,9,9,9
MEDICAL SURVEILLANCE,6,9,9
MORTALITY RATE,9,9,9
NORMAL DISTRIBUTION,10,9,9
OBSERVATIONAL STUDY,9,9,9
ODDS RATIO,8,8,8
OUTBREAK,8,8,8
PANDEMIC,10,10,10
PERIOD PREVALENCE,9,9,8
POINT PREVALENCE,10,10,10
PREDICTIVE VALUE POSITIVE,6,7,7
PREVALENCE RATE,10,10,10
PUBLIC HEALTH SURVEILLANCE,9,10,10
RANDOM SAMPLE,10,10,10
RELATIVE RISK,9,9,9
RESERVOIR,10,9,10
RISK RATIO,10,10,10
SENSITIVITY,8,8,8
SPECIFICITY,9,9,9
VALIDITY,10,9,9
VECTOR,8,9,9
YEARS OF POTENTIAL LIFE LOST,9,9,9
ZOONOSES,10,9,9
